"runCount","noiseLevel","distinctRunNo","decision","maximumSM","midpoint","slopeParam","maximumDSM","midPoint1Param","slope1Param","slope2Param","midPointDistanceParam","finalAsymptoteIntensityRatio","timeChoice","noiseType","maximumSMValue","slopeParamValue","midpointValue","mAError","realInput"
NA,1.35,1,"double_sigmoidal",NA,NA,NA,31.443263901918,19.9006188461233,6,6,2.15611366739865,0.550342532929083,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.175669197565777,"sigmoidal"
NA,1.2,1,"double_sigmoidal",NA,NA,NA,17.4171399134157,19.6377614739974,6,6,8.71481251417918,0.551165297636749,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.107545095409377,"sigmoidal"
NA,1.05,1,"sigmoidal",15.1511596023216,21.5635747996685,0.59435959448758,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.0899565405516991,"sigmoidal"
NA,0.9,1,"double_sigmoidal",NA,NA,NA,13.9572453439977,19.663641738832,6,6,8.6544330163525,0.659650648106409,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.0328493997903399,"sigmoidal"
NA,0.75,1,"double_sigmoidal",NA,NA,NA,15.6273487659964,19.7289299479297,6,6,10.3050930776597,0,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.0589734661281086,"sigmoidal"
NA,0.6,1,"sigmoidal",13.4303302793801,19.8650086851203,5.22932054466178,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.0115318271927096,"sigmoidal"
NA,0.45,1,"sigmoidal",13.9289538441216,19.7656932808851,6,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.00694893224647131,"sigmoidal"
NA,0.3,1,"sigmoidal",14.5595834986309,19.8530635687812,6,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.0217501528583177,"sigmoidal"
NA,0.15,1,"sigmoidal",13.9582186460834,19.8380690086962,6,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.00620708094419745,"sigmoidal"
NA,0,1,"sigmoidal",13.7605243634102,19.8182496883663,6,NA,NA,NA,NA,NA,NA,"equidistant","multiplicative",13.750365133537,6.71865046229972,19.8242467436939,0.00119762943009101,"sigmoidal"
