"true_model","noise_type","time_sampling","noise_parameter","distinct_model_parameters","distinct_runs","run_no","n_samples","t_min","t_max","maximum_SM","slope_param_SM","midpoint_SM","final_asymptoteIntensity_ratio_DSM","maximum_DSM","slope1_param_DSM","midpoint1_param_DSM","slope2_param_DSM","midPoint_distance_param_DSM","p_predicted_model","p_maximum_SM","p_midpoint_SM","p_slope_param_SM","p_AIC","p_mean_absolute_error","p_final_asymptoteIntensity_ratio_DSM","p_maximum_DSM","p_slope1_param_DSM","p_midpoint1_param_DSM","p_slope2_param_DSM","p_midPoint_distance_param_DSM","p_error"
"SM","additive","equidistant",0,35,1,35,55,3,30,"4.72241218111012","12.4566629319414","4.52569825015962",NA,NA,NA,NA,NA,NA,"sigmoidal","4.72742901333691","4.547540569681","6","-350.455161330217","0.00287498229037438",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,36,1,36,55,3,30,"6.45587942618877","2.07911481828294","11.8733573164791",NA,NA,NA,NA,NA,NA,"sigmoidal","6.45587942498415","11.8733573302404","2.07911486620606","-1937.80799072238","7.79246406182122e-10",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,37,1,37,55,3,30,"10.5206570609938","16.045269299958","3.91146742366254",NA,NA,NA,NA,NA,NA,"sigmoidal","10.5312104924199","3.82742455267796","6","-272.491617230944","0.0047623692388428",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,38,1,38,55,3,30,"18.6930402640719","1.63757950476108","15.9807342421263",NA,NA,NA,NA,NA,NA,"sigmoidal","18.6930402637031","15.9807342431645","1.63757950706954","-2224.67946089985","5.98066725007499e-11",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,39,1,39,55,3,30,"3.83304715238046","0.813167038653078","23.7502738907933",NA,NA,NA,NA,NA,NA,"sigmoidal","3.83304709219063","23.7502740067089","0.81316715555908","-1720.26183054336","8.88961887307328e-09",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,40,1,40,55,3,30,"8.18687563489657","1.21787395034481","25.7555720228702",NA,NA,NA,NA,NA,NA,"sigmoidal","8.18687563489422","25.7555720228717","1.2178739503482","-2901.72295463038","1.16876631067078e-13",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,41,1,41,55,3,30,"0.532926179887727","0.317709120402524","9.27666313201189",NA,NA,NA,NA,NA,NA,"sigmoidal","0.527954068676101","10.1579271121832","0.384541194595874","-287.334681764605","0.0315198708585284",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,42,1,42,55,3,30,"2.86592762223445","4.30742292458613","11.4145516566932",NA,NA,NA,NA,NA,NA,"sigmoidal","2.86592762223445","11.4145516566932","4.30742292458613","-3828.89691988783","6.6085299208895e-17",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,43,1,43,55,3,30,"12.7809494924266","1.81908048969419","21.4228242505342",NA,NA,NA,NA,NA,NA,"sigmoidal","12.7809494924266","21.4228242505342","1.8190804896942","-3549.65010439661","2.22063621243234e-16",NA,NA,NA,NA,NA,NA,NA
"SM","additive","equidistant",0,44,1,44,55,3,30,"17.0970550177153","1.55445502936203","19.5296212434769",NA,NA,NA,NA,NA,NA,"sigmoidal","17.0970550177093","19.5296212434896","1.55445502938837","-2697.89462922968","7.33688131829692e-13",NA,NA,NA,NA,NA,NA,NA
